	    ID 	             X 	              Y 	              Z 	  DX 	  DY 	  DZ 	  BV 	        AbsMag 	
	    95 	 13042.9274539 	 -31477.6045777 	 -19907.7840431 	 0.0 	 0.0 	 0.0 	 0.0 	 19.3564256611 	
	    96 	 35034.5126407 	 -84469.8112034 	 -53068.2609856 	 0.0 	 0.0 	 0.0 	 0.0 	  17.979174848 	
	    97 	 34374.8183921 	 -64856.9194601 	 -52218.2560532 	 0.0 	 0.0 	 0.0 	 0.0 	 18.7771463078 	
	    98 	 12018.8127112 	 -22774.6011902 	 -18255.9950239 	 0.0 	 0.0 	 0.0 	 0.0 	 19.6899544932 	
	    99 	  40738.701774 	  -77189.780363 	 -61821.7874169 	 0.0 	 0.0 	 0.0 	 0.0 	  14.665414698 	
	   100 	  14278.704087 	 -26888.3109952 	 -21451.2283245 	 0.0 	 0.0 	 0.0 	 0.0 	 18.5833102652 	
	   101 	 33990.4637833 	 -62030.3047899 	 -49261.3327402 	 0.0 	 0.0 	 0.0 	 0.0 	 17.2059514137 	
	   102 	 50774.1712802 	  -93743.333255 	 -74283.6397785 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1312358673 	
	   103 	 44331.3013653 	 -81767.1518489 	 -64413.3861705 	 0.0 	 0.0 	 0.0 	 0.0 	 17.7047480734 	
	   104 	 45647.6613669 	 -84015.4134451 	 -66251.8489217 	 0.0 	 0.0 	 0.0 	 0.0 	 17.4049161292 	
	   105 	 34819.7804574 	  -66350.270417 	 -52909.0149993 	 0.0 	 0.0 	 0.0 	 0.0 	 18.5073414947 	
	   106 	 18405.4169534 	 -34957.1375354 	 -27861.9427431 	 0.0 	 0.0 	 0.0 	 0.0 	 19.8829606455 	
	   107 	 9823.79852664 	 -18637.4364057 	 -14855.9039822 	 0.0 	 0.0 	 0.0 	 0.0 	 18.9761005668 	
	   108 	 16856.6014177 	 -31815.0778683 	 -25351.8735833 	 0.0 	 0.0 	 0.0 	 0.0 	 19.9549538475 	
	   109 	 14212.2987453 	 -27078.3763069 	 -21541.1112371 	 0.0 	 0.0 	 0.0 	 0.0 	  19.961810842 	
	   110 	 37397.7920624 	 -71379.3278246 	 -56605.1931831 	 0.0 	 0.0 	 0.0 	 0.0 	 15.4891115398 	
	   111 	 34994.2203572 	 -65652.5006363 	 -52029.1785173 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2214154359 	
	   112 	 22959.2061251 	 -43844.3970579 	 -34767.6271123 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2260374029 	
	   113 	 48650.5960657 	 -92487.6714937 	 -72981.5709307 	 0.0 	 0.0 	 0.0 	 0.0 	 15.6904383156 	
	   114 	 33329.7685472 	 -63875.6713616 	 -50410.0186337 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4887835921 	
	   115 	 27538.1591221 	 -51409.2645029 	 -40358.2188357 	 0.0 	 0.0 	 0.0 	 0.0 	 16.7475238704 	
	   116 	 36676.8092965 	 -68636.8356316 	 -53806.6028144 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8527192888 	
	   117 	 8531.88473398 	 -16053.0204366 	 -12451.8633833 	 0.0 	 0.0 	 0.0 	 0.0 	 19.9470907067 	
	   118 	 28201.1636959 	 -52889.3898801 	 -40902.3109641 	 0.0 	 0.0 	 0.0 	 0.0 	 19.0054554966 	
	   119 	 15431.5122867 	 -28026.1695414 	  -22132.470609 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2285704824 	
	   120 	  24701.458036 	 -45182.8323438 	 -35458.3773909 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4483298896 	
	   121 	 56995.2090938 	 -104058.418343 	 -81477.8755768 	 0.0 	 0.0 	 0.0 	 0.0 	 17.2200304684 	
	   122 	 8822.35410943 	  -16195.791603 	 -12668.6245903 	 0.0 	 0.0 	 0.0 	 0.0 	 18.9522046626 	
	   123 	 12361.1092052 	 -22628.2591079 	  -17698.584441 	 0.0 	 0.0 	 0.0 	 0.0 	 19.4896092648 	
	   124 	 33964.1195408 	 -61621.4820567 	 -48157.6428216 	 0.0 	 0.0 	 0.0 	 0.0 	 19.2695504989 	
	   125 	 56151.1495915 	 -102010.216713 	 -79290.7540622 	 0.0 	 0.0 	 0.0 	 0.0 	 17.2831911472 	
	   126 	 21117.9631786 	 -37810.3867159 	 -29773.6892142 	 0.0 	 0.0 	 0.0 	 0.0 	 19.3783835739 	
	   127 	 7961.86834675 	 -14187.5723231 	 -11115.3017709 	 0.0 	 0.0 	 0.0 	 0.0 	 19.0858055513 	
	   128 	 29678.3544574 	 -52548.2981676 	 -41039.5592403 	 0.0 	 0.0 	 0.0 	 0.0 	  15.808900006 	
	   129 	 24008.4313108 	 -43262.4726629 	 -33648.5845696 	 0.0 	 0.0 	 0.0 	 0.0 	 18.0508567499 	
	   130 	 30066.4554148 	 -53676.2774916 	 -41674.8998227 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9817683826 	
	   131 	 53954.4296186 	 -96301.2487302 	 -74353.9323604 	 0.0 	 0.0 	 0.0 	 0.0 	 18.0345798274 	
	   132 	 45614.0586588 	  -84392.565541 	 -65644.9977737 	 0.0 	 0.0 	 0.0 	 0.0 	 18.3414896088 	
	   133 	 28204.9987473 	  -51694.469337 	   -40217.70423 	 0.0 	 0.0 	 0.0 	 0.0 	 19.1019735963 	
	   134 	 49930.1754518 	 -91721.8926238 	 -71189.0958299 	 0.0 	 0.0 	 0.0 	 0.0 	 16.1480919741 	
	   135 	 41744.0158936 	  -76283.505613 	 -59055.4548951 	 0.0 	 0.0 	 0.0 	 0.0 	 18.5102575109 	
	   136 	 40837.0842871 	  -76206.015005 	 -58859.2617617 	 0.0 	 0.0 	 0.0 	 0.0 	  18.435204548 	
	   137 	 21706.1984931 	 -40348.9794652 	 -31028.9691312 	 0.0 	 0.0 	 0.0 	 0.0 	 19.5379072008 	
	   138 	 40794.4909497 	 -73933.4787753 	 -57116.4827142 	 0.0 	 0.0 	 0.0 	 0.0 	 18.5141057175 	
	   139 	 14206.4157326 	 -26129.9164325 	 -19974.0694765 	 0.0 	 0.0 	 0.0 	 0.0 	  20.153760908 	
	   140 	  19751.799309 	  -36265.086664 	 -27688.7703859 	 0.0 	 0.0 	 0.0 	 0.0 	 19.7910834429 	
	   141 	 19836.5979307 	 -36022.6543244 	 -27512.5130277 	 0.0 	 0.0 	 0.0 	 0.0 	 19.2765778291 	
	   142 	  8466.9797635 	 -16216.2462292 	 -12650.1097219 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6684932805 	
	   143 	 35035.8516073 	 -67920.6399911 	 -52966.9946801 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9420637932 	
	   144 	 28006.2073705 	 -53932.9452799 	 -41390.7344467 	 0.0 	 0.0 	 0.0 	 0.0 	 17.6134583183 	
	   145 	 38853.6283778 	 -74036.1124073 	 -57080.6963506 	 0.0 	 0.0 	 0.0 	 0.0 	 16.2117321774 	
	   146 	 24940.7232412 	 -47283.3842621 	 -36428.4991273 	 0.0 	 0.0 	 0.0 	 0.0 	 16.3067829437 	
	   147 	 13221.0233482 	 -24883.5314518 	 -19238.4554672 	 0.0 	 0.0 	 0.0 	 0.0 	 19.9608727523 	
	   148 	 38915.3596818 	   -73493.85708 	 -56404.4010391 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2504263496 	
	   149 	 39023.2391933 	 -76326.0658825 	 -58991.6540337 	 0.0 	 0.0 	 0.0 	 0.0 	 18.0857622738 	
	   150 	 27002.5238074 	 -52934.8469707 	 -40704.3504505 	 0.0 	 0.0 	 0.0 	 0.0 	 19.5981382636 	
	   151 	 22034.6706765 	 -43301.5235011 	 -33247.9704433 	 0.0 	 0.0 	 0.0 	 0.0 	 18.9100301812 	
	   152 	 25538.5637582 	 -49799.6689643 	 -38045.0965462 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1003631256 	
	   153 	 33271.5397574 	 -65338.9490105 	 -49780.7588557 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6176775618 	
	   154 	 25508.7022011 	 -49833.1631039 	 -37722.3857242 	 0.0 	 0.0 	 0.0 	 0.0 	 18.5966055855 	
	   155 	 49266.0115096 	 -95145.2486995 	 -72057.5637316 	 0.0 	 0.0 	 0.0 	 0.0 	 17.2786050547 	
	   156 	 37503.6342652 	 -71637.2809543 	 -54092.4501881 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1332796543 	
	   157 	 34322.9794524 	 -66116.1706818 	 -49666.9175708 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1688269259 	
	   158 	 48166.9883374 	 -93189.9517946 	 -69971.9301577 	 0.0 	 0.0 	 0.0 	 0.0 	 15.2539531397 	
	   159 	 23292.6695753 	 -43529.5194831 	 -33318.1176761 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1807684904 	
	   160 	 25519.0891644 	 -47388.1786281 	 -36074.9350698 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4011115892 	
	   161 	 16066.5063957 	 -29756.8275648 	 -22566.7639046 	 0.0 	 0.0 	 0.0 	 0.0 	 19.4636977982 	
	   162 	 58316.7722019 	 -106324.354805 	 -80342.8006271 	 0.0 	 0.0 	 0.0 	 0.0 	 17.4947874787 	
	   163 	 11872.5493203 	 -22015.4700143 	 -16644.3019139 	 0.0 	 0.0 	 0.0 	 0.0 	 19.6400189507 	
	   164 	 57623.8428688 	 -106852.977088 	 -80650.7415244 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1297356306 	
	   165 	 39391.9120718 	 -73082.2996743 	 -54892.2027136 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9603512198 	
	   166 	 36350.1080743 	 -67397.3555619 	 -50572.5146365 	 0.0 	 0.0 	 0.0 	 0.0 	  18.518480654 	
	   167 	 32938.7951394 	 -62520.0731201 	 -47202.8175009 	 0.0 	 0.0 	 0.0 	 0.0 	 18.7520570833 	
	   168 	 17061.2878324 	 -32348.5026853 	 -24261.4422788 	 0.0 	 0.0 	 0.0 	 0.0 	 19.0637469671 	
	   169 	 11555.6828598 	 -22060.8760779 	 -16482.8165694 	 0.0 	 0.0 	 0.0 	 0.0 	 20.3356876849 	
	   170 	 39243.8406486 	 -74709.7440336 	 -55481.7229413 	 0.0 	 0.0 	 0.0 	 0.0 	  18.964579822 	
