# Name: V/50
# Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
# Coosys	J2000_2000.000:	eq_FK5 J2000
# Table	V_50_catalog:
# Name: V/50/catalog
# Title: The main part of the Catalogue
# Column	RA	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
# Column	DEC	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
# Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
# Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
      RA |      DEC |     HD |  Vmag
 20.8537 |  20.4689 |   8388 |  5.97
 21.4437 |    70.98 |   8424 |  6.49
 21.4833 |    68.13 |   8491 |  4.74
 20.8792 | -30.9456 |   8498 |  5.84
 21.0104 |  -8.0075 |   8511 |  6.21
 21.0058 |  -8.1833 |   8512 |   3.6
 21.4542 |  60.2353 |   8538 |  2.68
 21.0858 |  -6.9147 |   8556 |  5.91
 21.1658 | -15.6603 |   8589 |  6.14
 21.2029 |  -2.8486 |   8599 |  6.15
 21.3987 |  23.5117 |   8634 |  6.18
   21.17 | -41.4925 |   8651 |  5.42
 21.5775 |  43.4578 |   8671 |  5.96
 21.5362 |  34.5797 |   8673 |  6.31
 21.1746 | -44.5283 |   8681 |  6.26
  21.405 | -14.5989 |   8705 |   4.9
 21.5637 |  19.1722 |   8723 |  5.38
 21.6737 |  19.2403 |   8763 |   5.5
 21.7758 |  34.3775 |   8774 |  6.27
 21.6137 |  -0.3986 |   8779 |  6.41
 21.9142 |  45.4067 |   8799 |  4.83
 21.8608 |  41.1006 |   8801 |  6.46
 21.7229 |   3.5353 |   8803 |  6.58
 21.2721 | -64.3694 |   8810 |  5.93
  21.715 | -13.0567 |   8829 |  5.66
 21.9458 |  40.3356 |   8837 |   6.6
 21.7421 | -32.5431 |   8879 |  5.79
 37.9529 |  89.2642 |   8890 |  2.02
 21.9442 | -10.9017 |   8921 |  6.13
 22.0954 |   7.9614 |   8949 |   6.2
 22.8075 |  70.2647 |   9021 |  5.81
 22.7179 |  66.0981 |   9030 |  6.14
 22.0912 | -43.3183 |   9053 |  3.41
 22.5258 |  47.0072 |   9057 |  5.27
 22.1804 | -33.7636 |   9065 |  6.58
 22.4704 |  18.3556 |   9100 |  6.02
 22.4004 | -21.6294 |   9132 |  5.12
 22.5462 |   6.1439 |   9138 |  4.84
 22.3767 | -46.7564 |   9184 |  6.31
 22.5954 | -26.2078 |   9228 |  5.93
 22.8708 |  15.3458 |   9270 |  3.62
 23.0317 |     34.8 |   9298 |  6.39
 23.3575 |  58.3275 |   9352 |   5.7
 22.8129 | -49.0728 |   9362 |  3.95
 22.9304 | -30.2833 |   9377 |  5.82
 23.4829 |  59.2319 |   9408 |  4.71
 22.9129 | -45.5756 |   9414 |  6.17
 23.2646 |  -9.0147 |   9484 |  6.59
 23.2333 | -36.8653 |   9525 |  5.51
 23.5692 |  37.2372 |   9531 |  5.88
 23.1513 | -49.7278 |   9544 |  6.28
 23.4287 |  -7.0253 |   9562 |  5.76
 24.3438 |  74.3008 |   9612 |  6.58
 23.7046 |  18.4606 |   9640 |  5.89
 23.6575 | -15.6761 |   9672 |  5.63
 23.9687 |  41.0764 |   9712 |  6.38
 23.7112 | -31.8922 |   9742 |  6.12
 24.1133 |  48.7228 |   9746 |  5.92
 23.9433 |  14.6614 |   9766 |  6.22
 24.6287 |    73.04 |   9774 |  5.28
 23.9783 |  17.4336 |   9780 |   5.8
 24.1992 |  41.4056 |   9826 |  4.09
 23.9958 | -15.4003 |   9856 |  5.42
 23.8133 | -58.1394 |   9896 |  6.01
 24.5317 |  57.9775 |   9900 |  5.56
  24.035 | -29.9075 |   9906 |  5.69
 24.2746 |  12.1417 |   9919 |  5.57
 24.4983 |  48.6283 |   9927 |  3.57
 24.6321 |     45.4 |   9996 |  6.36
 24.4071 |  -9.4039 |  10009 |  6.24
 23.4133 | -78.5047 |  10042 |  6.11
 24.1867 | -58.2708 |  10052 |  6.18
 24.8375 |  44.3861 |  10072 |  4.98
 25.0546 |  53.8683 |  10110 |  6.39
 24.6142 | -36.5283 |  10142 |  5.94
 24.4287 | -57.2367 |  10144 |  0.46
 24.7158 | -21.2753 |  10148 |  5.58
 24.7083 | -25.0219 |  10161 |   6.7
   24.92 |  16.4058 |  10164 |  5.97
 25.1658 |  43.2978 |  10204 |  5.61
  25.145 |  40.5769 |  10205 |  4.94
 25.5854 |  68.0431 |  10221 |  5.59
 24.7008 | -53.4389 |  10241 |  6.84
 25.7329 |  70.6225 |  10250 |  5.18
 25.5125 |  61.0383 |  10260 |  6.71
 25.5742 |  58.6278 |  10293 |  6.37
 25.4467 |  42.6136 |  10307 |  4.95
 25.3267 |  25.7458 |  10308 |  6.17
 25.4133 |  30.0472 |  10348 |  5.99
 24.9475 | -56.1981 |  10360 |  5.87
 24.9492 | -56.1947 |  10361 |  5.76
 25.7433 |  61.4217 |  10362 |  6.34
 25.3579 |   5.4875 |  10380 |  4.44
 25.5146 |  35.2456 |  10390 |  5.64
 25.8321 |  60.5511 |  10425 |  5.78
 25.4362 | -11.3247 |  10453 |  5.75
 25.6242 |  20.2686 |  10476 |  5.24
 25.3637 | -38.1331 |  10481 |  6.17
 25.8188 |  45.3222 |  10486 |  6.34
  25.915 |  50.6886 |  10516 |  4.07
 25.5358 | -32.3269 |  10537 |  5.25
 25.5125 | -36.8325 |  10538 |  5.72
 26.0746 |  57.5364 |  10543 |  6.21
 25.6812 |  -3.6903 |  10550 |  4.99
 25.4213 | -50.0389 |  10553 |  6.64
 26.1921 |  57.0892 |  10587 |  6.25
 25.9583 |  32.1917 |  10588 |  6.34
 26.1104 |  46.1397 |  10597 |  6.35
   25.45 | -60.7894 |  10615 |  5.71
 25.6221 | -53.7406 |  10647 |  5.52
 25.9783 |  -4.7656 |  10658 |  6.19
 26.2325 |  20.0831 |  10697 |  6.27
 26.0171 | -15.9375 |  10700 |   3.5
 26.3483 |   9.1578 |  10761 |  4.26
 26.9367 |  63.8522 |  10780 |  5.63
 24.4817 |  -82.975 |  10800 |  5.87
 26.4971 |  -5.7333 |  10824 |  5.34
 26.4117 | -25.0525 |  10830 |  5.31
 26.6471 |  17.4131 |  10845 |  6.55
 25.3387 | -79.1483 |  10859 |  6.33
 26.5042 | -27.3492 |  10863 |  6.39
   26.95 |  46.2297 |  10874 |  6.32
 26.5242 | -50.8164 |  10934 |  5.49
 26.5262 | -53.5219 |  10939 |  5.04
